Fovargue, Yvonne (Labour)
Fox, Liam (Conservative)
Francis, Hywel (Labour)
Francois, Mark (Conservative)
Freeman, George (Conservative)
Freer, Mike (Conservative)
Fullbrook, Lorraine (Conservative)
Fuller, Richard (Conservative)
Gale, Roger (Conservative)
Galloway, George (Respect)
Gapes, Mike (Labour (Co-op))
Gardiner, Barry (Labour)
Garnier, Edward (Conservative)
Garnier, Mark (Conservative)
Gauke, David (Conservative)
George, Andrew (Liberal Democrat)
Gibb, Nick (Conservative)
Gilbert, Stephen (Liberal Democrat)
Gildernew, Michelle (Sinn Fein)
Gillan, Cheryl (Conservative)
Gilmore, Sheila (Labour)
Glass, Pat (Labour)
Glen, John (Conservative)
Glindon, Mary (Labour)
Godsiff, Roger (Labour)
Goggins, Paul (Labour)
Goldsmith, Zac (Conservative)
Goodman, Helen (Labour)
Goodwill, Robert (Conservative)
Gove, Michael (Conservative)
Graham, Richard (Conservative)
Grant, Helen (Conservative)
Gray, James (Conservative)
Grayling, Chris (Conservative)
Greatrex, Tom (Labour (Co-op))
Green, Damian (Conservative)
Green, Kate (Labour)
Greening, Justine (Conservative)
Greenwood, Lilian (Labour)
Grieve, Dominic (Conservative)
Griffith, Nia (Labour)
Griffiths, Andrew (Conservative)
Gummer, Ben (Conservative)
Gwynne, Andrew (Labour)
Gyimah, Sam (Conservative)
Hague, William (Conservative)
Hain, Peter (Labour)
Halfon, Robert (Conservative)
Hames, Duncan (Liberal Democrat)
Hamilton, David (Labour)
Hamilton, Fabian (Labour)
Hammond, Philip (Conservative)
Hammond, Stephen (Conservative)
Hancock, Matthew (Conservative)
Hancock, Mike (Independent)
Hands, Greg (Conservative)
Hanson, David (Labour)
Harman, Harriet (Labour)
Harper, Mark (Conservative)
Harrington, Richard (Conservative)
Harris, Rebecca (Conservative)
Harris, Tom (Labour)
Hart, Simon (Conservative)
Harvey, Nick (Liberal Democrat)
Haselhurst, Alan (Conservative)
Havard, Dai (Labour)
Hayes, John (Conservative)
Heald, Oliver (Conservative)
Healey, John (Labour)
Heath, David (Liberal Democrat)
Heaton-Harris, Chris (Conservative)
Hemming, John (Liberal Democrat)
Henderson, Gordon (Conservative)
Hendrick, Mark (Labour (Co-op))
Hendry, Charles (Conservative)
Hepburn, Stephen (Labour)
Herbert, Nick (Conservative)
Hermon, Lady (Independent)
Heyes, David (Labour)
Hillier, Meg (Labour (Co-op))
Hilling, Julie (Labour)
Hinds, Damian (Conservative)
Hoban, Mark (Conservative)
Hodge, Margaret (Labour)
Hodgson, Sharon (Labour)
Hoey, Kate (Labour)
Hollingbery, George (Conservative)
Hollobone, Philip (Conservative)
Holloway, Adam (Conservative)
Hood, Jim (Labour)
Hopkins, Kelvin (Labour)
Hopkins, Kris (Conservative)
Horwood, Martin (Liberal Democrat)
Hosie, Stewart (Scottish National)
Howarth, George (Labour)
Howarth, Gerald (Conservative)
Howell, John (Conservative)
Hoyle, Lindsay (Labour)
Hughes, Simon (Liberal Democrat)
Hunt, Jeremy (Conservative)
Hunt, Tristram (Labour)
Hunter, Mark (Liberal Democrat)
Huppert, Julian (Liberal Democrat)
Hurd, Nick (Conservative)
Irranca-Davies, Huw (Labour)
Jackson, Glenda (Labour)
Jackson, Stewart (Conservative)
James, Margot (Conservative)
James, Siân C. (Labour)
Jamieson, Cathy (Labour (Co-op))
Jarvis, Dan (Labour)
Javid, Sajid (Conservative)
Jenkin, Bernard (Conservative)
Johnson, Alan (Labour)
Johnson, Diana (Labour)
Johnson, Gareth (Conservative)
Johnson, Joseph (Conservative)
Jones, Andrew (Conservative)
Jones, David (Conservative)
Jones, Graham (Labour)
Jones, Helen (Labour)
Jones, Kevan (Labour)
Jones, Marcus (Conservative)
Jones, Susan Elan (Labour)
Jowell, Tessa (Labour)
Joyce, Eric (Independent)
